instance,k,L,OPT,time,timeinc
pmed1.txt,5,19,127,67.7866199016571,67.7591559886932
pmed1.txt,5,20,127,59.7831389904022,59.7503089904785
pmed1.txt,5,21,127,40.2452940940857,40.2269380092621
pmed2.txt,10,9,104,109.763647794724,109.712909936905
pmed2.txt,10,10,100,58.1157279014587,58.0791120529175
pmed3.txt,10,9,138,82.9653830528259,82.8692729473114
pmed3.txt,10,10,96,110.181701183319,110.157291889191
pmed4.txt,20,4,82,83.5769240856171,83.3419051170349
pmed4.txt,20,5,79,64.9373800754547,64.9280219078064
pmed6.txt,5,39,84,456.67252779007,455.949191808701
pmed6.txt,5,41,84,369.282746076584,369.215842008591
pmed6.txt,5,43,84,352.85732793808,352.793183088303
pmed7.txt,10,19,66,1100.95539188385,1100.90037107468
pmed7.txt,10,20,66,350.391681909561,350.276974916458
pmed7.txt,10,21,64,164.29456114769,164.260857105255
pmed8.txt,20,9,70,1609.94512605667,1609.62842106819
pmed8.txt,20,10,60,925.10182595253,924.529314041138
pmed9.txt,40,4,71,2653.73262214661,2653.70457911491
pmed9.txt,40,5,42,135.81565785408,135.790149927139
pmed11.txt,5,59,59,851.78333902359,851.675726890564
pmed11.txt,5,62,59,950.720005989075,950.628126144409
pmed11.txt,5,65,59,882.129988908768,882.016108989716
pmed12.txt,10,29,72,1545.66807508469,1545.60424995422
pmed12.txt,10,31,72,1292.02796196938,1291.95161700249
pmed12.txt,10,32,72,578.061416864395,577.988013982773
pmed16.txt,5,79,47,1368.83060002327,1368.71112084389
pmed16.txt,5,83,47,1375.61621308327,1375.49616408348
pmed16.txt,5,87,47,994.240758895874,994.014243125915
pmed17.txt,10,39,39,7040.77186703682,7040.59411716461
pmed17.txt,10,41,39,2978.92755103111,2978.70178508759
pmed17.txt,10,43,39,2915.78514313698,2915.65881800652
pmed18.txt,40,9,50,17726.7966330051,17726.674352169
pmed18.txt,40,10,30,9321.86637306213,9321.75182199478
pmed21.txt,5,99,40,2879.748148918152,2879.5534529685974
pmed21.txt,5,104,40,3329.4880430698395,3329.271620988846
pmed21.txt,5,109,40,3118.9563961029053,3118.762079000473
pmed22.txt,10,49,47,23627.42231607437,23626.695108175278
